Member No,Source Type,Change Type,Reason Type,Old Member Level,New Member Level,Date,Remark
PL011,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00,
MC0001,System,Upgrade,Normal Point Change,No.1,Platinum,2015-01-01 00:00:00,
MC0002,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00,
MC0003,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00,
MC0004,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00,
MC0005,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00,
MC0006,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00,
MC0007,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00,
MC0001,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00,
MC0002,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00,
MC0003,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00,
MC0004,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00,
MC0005,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00,
MC0006,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00,
MC0007,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00,
MC0001,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00,
MC0002,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00,
MC0003,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00,
MC0004,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00,
