Excel Row No,Member No,Fail Reason
3,MC0002,Referrer Member Code is invalid
4,MC0003,Referrer Member Code is invalid
5,MC0004,Referrer Member Code is invalid
6,MC0005,Referrer Member Code is invalid
7,MC0006,Referrer Member Code is invalid
8,MC0007,Referrer Member Code is invalid
9,MC0008,Referrer Member Code is invalid
10,MC0009,Referrer Member Code is invalid
11,MC0010,Referrer Member Code is invalid
12,MC0011,Referrer Member Code is invalid
13,MC0012,Referrer Member Code is invalid
14,MC0013,Referrer Member Code is invalid
15,MC0014,Referrer Member Code is invalid
16,MC0015,Referrer Member Code is invalid
17,MC0016,Referrer Member Code is invalid
18,MC0017,Referrer Member Code is invalid
19,MC0018,Referrer Member Code is invalid
